method,seed,mode,target,critical_mass,clear_mass,penetration_mass,retained_mass,abstained,p
combined,302,raw,short_e015_r265,0.16334563493728638,0.16622495609257015,0.6369058196600802,0.16622495609257015,False,
combined,302,raw,sustained_e015_r255,0.8019326645880938,0.8549246582248219,0.023292318597580106,0.8549246582248219,False,
combined,302,raw,prior_splice_e015_r265,0.6945757176727057,0.8069457361708267,0.05146504876111532,0.8069457361708267,False,
combined,302,raw,prior_splice_e050_r265,0.6420061010867357,0.7397775047834696,0.052505332598736056,0.7397775047834696,False,
combined,302,raw,short_e070_r265,0.16334548592567444,0.16622481539589606,0.636906265565496,0.16622481539589606,False,
combined,302,raw,sustained_e070_r255,0.8157505691051483,0.8710174149388601,0.02328595743540416,0.8710174149388601,False,
combined,302,constrained,neutral,0.0,1.0,0.0,0.8865526227746159,False,
combined,302,constrained,short_e015_r265,0.9826781656439103,1.0,0.0,0.16622495609257015,False,
combined,302,constrained,sustained_e015_r255,0.9380155980683005,1.0000000000000002,0.0,0.8549246582248219,False,
combined,302,constrained,prior_splice_e015_r265,0.8607464994717653,1.0,0.0,0.8069457361708267,False,
combined,302,constrained,prior_splice_e050_r265,0.8678367440689465,1.0000000000000002,0.0,0.7397775047834696,False,
combined,302,constrained,short_e070_r265,0.9826781009600525,1.0,0.0,0.16622481539589606,False,
combined,302,constrained,sustained_e070_r255,0.9365490920321138,0.9999999999999998,0.0,0.8710174149388601,False,
