panel,task,success,goal_ever_reached,max_hold_ticks,final_goal_distance_m,collision_free,max_undesired_force_n,fell,control_steps,stop_reason,student_sha256,harness_commit,harness_dirty
probe-approach-c2-nominal-92601,00908-stop-clear,False,False,0,1.0637,True,0.0,False,350,deadline,426f0fc526a7,caecf41,0
probe-approach-c2-nominal-92602,00677-stop-corridor,False,False,0,0.7635,True,0.0,False,350,deadline,426f0fc526a7,caecf41,0
probe-approach-c2-nominal-92602,00908-stop-clear,False,False,0,0.3592,True,0.0,False,350,deadline,426f0fc526a7,caecf41,0
recovery-92601,00120-stop-clear,False,False,0,4.2977,True,0.0,False,575,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00120-stop-corridor,False,False,0,4.8333,False,292.11,False,121,contact,d4b3c0e288c4,661a234,0
recovery-92601,00265-stop-clear,False,False,0,0.7859,True,0.0,False,500,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00265-stop-corridor,False,False,0,0.8546,True,0.0,False,500,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00413-stop-clear,False,False,0,1.489,True,0.0,False,600,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00677-stop-clear,False,False,0,1.359,True,0.0,False,350,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00677-stop-corridor,False,False,0,0.7435,False,86.81,False,123,contact,d4b3c0e288c4,661a234,1
recovery-92601,00707-stop-clear,False,False,0,0.3004,True,0.0,False,300,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00707-stop-corridor,False,False,0,0.3394,True,0.0,False,300,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00711-stop-clear,False,False,0,2.8175,True,0.0,False,475,deadline,d4b3c0e288c4,661a234,0
recovery-92601,00711-stop-corridor,False,False,0,3.0854,False,80.93,False,337,contact,d4b3c0e288c4,661a234,0
recovery-92601,00770-stop-clear,False,False,0,1.1489,True,0.0,False,425,deadline,d4b3c0e288c4,661a234,2
recovery-92601,00770-stop-corridor,False,False,0,0.7931,True,0.0,False,425,deadline,d4b3c0e288c4,000d185,0
recovery-92601,00801-stop-clear,False,False,0,2.4202,True,0.0,False,625,deadline,d4b3c0e288c4,000d185,0
recovery-92601,00801-stop-corridor,False,False,0,4.8408,False,219.12,False,379,contact,d4b3c0e288c4,000d185,0
recovery-92601,00908-stop-clear,False,False,0,1.5294,True,0.0,False,350,deadline,d4b3c0e288c4,000d185,0
recovery-92601,00908-stop-corridor,False,True,0,0.3465,True,0.0,False,350,deadline,d4b3c0e288c4,000d185,0
recovery-92601,00976-stop-clear,False,False,0,1.8671,True,0.0,False,500,deadline,d4b3c0e288c4,000d185,0
recovery-92601,00976-stop-corridor,False,False,0,1.4792,True,0.0,False,500,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00120-stop-clear,False,False,0,2.8303,True,0.0,False,575,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00120-stop-corridor,False,False,0,4.7632,False,51.01,False,121,contact,d4b3c0e288c4,000d185,0
recovery-92602,00265-stop-clear,False,False,0,0.7328,True,0.0,False,500,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00265-stop-corridor,False,False,0,1.047,True,0.0,False,500,deadline,d4b3c0e288c4,000d185,0
recovery-92602,00413-stop-clear,False,False,0,1.8373,True,0.0,False,600,deadline,d4b3c0e288c4,000d185,0
